2025-10-21 11:09:13 | 127.0.0.1 | 301 |            0s | GET /
2025-10-21 11:09:13 | 127.0.0.1 | 200 |            0s | GET /static/index.html
2025-10-21 11:09:14 | 127.0.0.1 | 200 |            0s | GET /static/favicon.ico
2025-10-21 11:09:17 | 127.0.0.1 | 200 |            0s | GET /static/demo.html
2025-10-21 11:09:18 | 127.0.0.1 | 200 |       576.1µs | GET /favicon.ico
2025-10-21 11:09:35 | 127.0.0.1 | 200 |            0s | POST /token
2025-10-21 11:09:41 | 127.0.0.1 | 404 |      1.0512ms | POST /callback/device_online
2025-10-21 11:09:41 | 127.0.0.1 | 404 |            0s | POST /callback/user_online
2025-10-21 11:10:04 | 127.0.0.1 | 404 |            0s | GET /.well-known/appspecific/com.chrome.devtools.json
2025-10-21 11:10:09 | 127.0.0.1 | 404 |       534.3µs | POST /callback/device_online
2025-10-21 11:09:41 | 127.0.0.1 | 200 |   27.3738672s | GET /events
2025-10-21 11:10:09 | 127.0.0.1 | 404 |       525.7µs | POST /callback/device_offline
2025-10-21 11:10:09 | 127.0.0.1 | 404 |      2.1436ms | POST /callback/user_offline
2025-10-21 11:10:22 | 127.0.0.1 | 200 |            0s | GET /static/demo.html
2025-10-21 11:10:22 | 127.0.0.1 | 404 |            0s | GET /.well-known/appspecific/com.chrome.devtools.json
2025-10-21 11:10:22 | 127.0.0.1 | 200 |            0s | GET /favicon.ico
2025-10-21 11:10:27 | 127.0.0.1 | 200 |            0s | POST /token
2025-10-21 11:10:28 | 127.0.0.1 | 404 |       519.7µs | POST /callback/device_online
2025-10-21 11:10:28 | 127.0.0.1 | 404 |      1.0857ms | POST /callback/user_online
2025-10-21 11:12:00 | 127.0.0.1 | 404 |            0s | POST /callback/device_offline
2025-10-21 11:10:09 | 127.0.0.1 | 200 | 1m51.0944059s | GET /events
2025-10-21 11:10:28 | 127.0.0.1 | 200 | 1m31.2922644s | GET /events
2025-10-21 11:12:00 | 127.0.0.1 | 404 |       526.1µs | POST /callback/device_offline
2025-10-21 11:12:37 | 127.0.0.1 | 200 |            0s | GET /static/demo.html
2025-10-21 11:12:37 | 127.0.0.1 | 404 |      1.8942ms | GET /.well-known/appspecific/com.chrome.devtools.json
2025-10-21 11:12:38 | 127.0.0.1 | 200 |            0s | GET /favicon.ico
2025-10-21 11:12:42 | 127.0.0.1 | 200 |            0s | POST /token
2025-10-21 11:12:46 | 127.0.0.1 | 200 |   57.3147235s | GET /events
2025-10-21 11:14:54 | 127.0.0.1 | 200 |       550.6µs | POST /token
2025-10-21 11:15:05 | 127.0.0.1 | 200 |            0s | GET /static/demo.html
2025-10-21 11:15:05 | 127.0.0.1 | 404 |            0s | GET /.well-known/appspecific/com.chrome.devtools.json
2025-10-21 11:15:06 | 127.0.0.1 | 200 |            0s | GET /favicon.ico
2025-10-21 11:15:11 | 127.0.0.1 | 200 |            0s | POST /token
2025-10-21 11:14:57 | 127.0.0.1 | 200 | 1m50.2443291s | GET /events
2025-10-21 11:15:13 | 127.0.0.1 | 200 | 1m34.0458827s | GET /events
2025-10-21 11:30:40 | 127.0.0.1 | 200 |       545.8µs | GET /static/demo.html
2025-10-21 11:30:40 | 127.0.0.1 | 404 |       523.2µs | GET /.well-known/appspecific/com.chrome.devtools.json
2025-10-21 11:30:40 | 127.0.0.1 | 200 |            0s | GET /favicon.ico
2025-10-21 11:30:44 | 127.0.0.1 | 200 |       168.6µs | POST /token
2025-10-21 11:30:48 | 127.0.0.1 | 200 | 20m28.6193185s | GET /events
2025-10-21 11:51:41 | 127.0.0.1 | 200 |            0s | GET /static/demo.html
2025-10-21 11:51:41 | 127.0.0.1 | 404 |       526.2µs | GET /.well-known/appspecific/com.chrome.devtools.json
